BADGE,CURRENT_TRANSFORMER,RECOMMENDED_TRANSFORMER,CLUSTER,CLUSTER_SIZE,MAPPED_PEERS,CURRENT_VOTES,MAJORITY_VOTES,MAJORITY_SHARE,CONFIDENCE_GAP,PEER_STABILITY,PEERS_CONSIDERED,TIMES_RECOMMENDED,BADGE_N_RUNS,RECOMMENDATION_STABILITY
1257453,,27371,18416,9,8,0,8,1.0,1.0,1.0,8,5,5,1.0
1232465,,525844,10585,8,7,0,7,1.0,1.0,1.0,7,5,5,1.0
1265550,,384443,2488,7,6,0,6,1.0,1.0,1.0,6,5,5,1.0
1232532,,506639,2922,7,6,0,6,1.0,1.0,1.0,6,5,5,1.0
1257712,,7913,49901,7,6,0,6,1.0,1.0,1.0,6,5,5,1.0
1232979,,384663,5220,6,5,0,5,1.0,1.0,1.0,5,5,5,1.0
1037817,,13491,10386,6,5,0,5,1.0,1.0,1.0,5,5,5,1.0
1232467,,497070,28814,6,5,0,5,1.0,1.0,1.0,5,5,5,1.0
1257706,,23720,13481,5,4,0,4,1.0,1.0,1.0,4,5,5,1.0
1233002,,537121,17021,6,4,0,4,1.0,1.0,1.0,5,5,5,1.0
1097161,,537121,17021,6,4,0,4,1.0,1.0,1.0,5,5,5,1.0
1247846,,14575,22237,5,4,0,4,1.0,1.0,1.0,4,5,5,1.0
1232993,,536699,23823,6,4,0,4,1.0,1.0,1.0,5,5,5,1.0
1096654,,536699,23823,6,4,0,4,1.0,1.0,1.0,5,5,5,1.0
1299377,,536734,49997,6,4,0,4,1.0,1.0,1.0,5,5,5,1.0
1240541,,536734,49997,6,4,0,4,1.0,1.0,1.0,5,5,5,1.0
1113152,25813,14647,27579,14,14,1,13,0.9286,0.8571,1.0,13,5,5,1.0
1000727,221438,5576,59,13,13,1,12,0.9231,0.8462,1.0,12,5,5,1.0
1035302,286723,286724,3400,13,13,1,12,0.9231,0.8462,1.0,12,5,5,1.0
1090506,1307,1332,14413,12,12,1,11,0.9167,0.8333,1.0,11,5,5,1.0
1007408,10755,24394,940,11,11,1,10,0.9091,0.8182,1.0,10,5,5,1.0
1011409,6657,6551,1356,11,11,1,10,0.9091,0.8182,1.0,10,5,5,1.0
1276470,93728,93727,34009,11,11,1,10,0.9091,0.8182,1.0,10,5,5,1.0
1300735,22426,6716,56243,11,11,1,10,0.9091,0.8182,1.0,10,5,5,1.0
1005541,280,294,527,10,10,1,9,0.9,0.8,1.0,9,5,5,1.0
1303089,5146,5165,2056,10,10,1,9,0.9,0.8,1.0,9,5,5,1.0
1014182,384035,384036,4366,10,10,1,9,0.9,0.8,1.0,9,5,5,1.0
1096135,375313,375310,5205,10,10,1,9,0.9,0.8,1.0,9,5,5,1.0
1056582,376047,376048,7959,10,10,1,9,0.9,0.8,1.0,9,5,5,1.0
1064940,22551,6965,11030,10,10,1,9,0.9,0.8,1.0,9,5,5,1.0
1128856,11940,11955,12906,10,10,1,9,0.9,0.8,1.0,9,5,5,1.0
1060487,370188,370187,12919,10,10,1,9,0.9,0.8,1.0,9,5,5,1.0
1079334,16151,16123,14750,10,10,1,9,0.9,0.8,1.0,9,5,5,1.0
1060759,383565,383564,14989,10,10,1,9,0.9,0.8,1.0,9,5,5,1.0
